dataset_name,dataset_source,download_type,file_name,web_link,download_link
過去9年地面測站每日雨量資料,氣象資料開放平台,Manually,C-B0025-002.zip,https://opendata.cwa.gov.tw/dataset/climate/C-B0025-002,
地震目錄-歷史地震目錄,氣象資料開放平台,Manually,E-A0073-002.zip,https://opendata.cwa.gov.tw/dataset/earthquake/E-A0073-002,
潮位統計-臺灣各地歷史潮位觀測逐年月統計,氣象資料開放平台,Manually,C-B0052-001.xml,https://opendata.cwa.gov.tw/dataset/earthquake/C-B0052-001,
歷史地下水位(自記站日水位),經濟部水利署水文資訊網,Request,202400337_日水位.csv,https://gweb.wra.gov.tw/Hydroinfo/?id=Index,
歷史河川水位(日水位),經濟部水利署水文資訊網,Request,202400337_自記站日水位.csv,https://gweb.wra.gov.tw/Hydroinfo/?id=Index,
地下水觀測井位置圖_現存站,政府資料開放平台,Auto,246-地下水觀測井位置圖現存站.csv,https://data.gov.tw/dataset/32725,https://opendata.wra.gov.tw/CloudFile/getFile.ashx?id=C560B8A6-2FFA-4F40-A47C-21139D64144B
河川水位測站位置圖_現存站,政府資料開放平台,Auto,214-河川水位測站位置圖現存站.csv,https://data.gov.tw/dataset/25784,https://opendata.wra.gov.tw/CloudFile/getFile.ashx?id=09F6BCFF-EE2C-4B84-85A8-97EC295E5A52
臺北市水綠地圖集-透水鋪面_PAC鋪面,臺北市資料大平台,Auto,J0101-3.geojson,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=c50b43ea-d927-492c-a828-06a06389c3ee
臺北市水綠地圖集-透水鋪面_人行道透水鋪面,臺北市資料大平台,Auto,J0201-5.geojson,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=7eb15e5a-0532-41f0-8d3e-f756d797c293
臺北市水綠地圖集-透水鋪面_學校透水鋪面,臺北市資料大平台,Auto,J0501-5.geojson,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=d449e232-51ff-4404-b730-8f9a2d9106cf
臺北市水綠地圖集-透水鋪面_公園透水鋪面,臺北市資料大平台,Auto,J0301-3-5_合併.geojson,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=97d2bea0-eedf-47ec-b286-5229cf99f558
臺北市水綠地圖集-透水鋪面_停車場透水鋪面,臺北市資料大平台,Auto,J0401-5.geojson,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=89fe1553-6c19-4e10-be23-fc8027d27c71
臺北市土壤液化潛勢圖,臺北市資料大平台,Auto,TPLiquid_84.geojson,https://data.taipei/dataset/detail?id=ec40e067-930f-4058-b7dc-71399d5f3147,https://soil.taipei/Taipei/Main/pages/TPLiquid_84.GeoJSON
臺北市公共管線圖資_自來水系統管線,臺北市資料大平台,Auto,A8030101_11212_4.xml,https://data.taipei/dataset/detail?id=af167303-0e5f-45dd-b624-a01f541565ce,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=650ab113-454c-45ba-a8b5-32066265b1a2
臺北市公共管線圖資_雨水系統管線,臺北市資料大平台,Auto,A8040201_11212.xml,https://data.taipei/dataset/detail?id=97b82d58-faba-4ee4-9488-dd5d04a79efd,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=5240223d-5187-454e-b323-63443a195639
臺北市公共管線圖資_污水系統管線,臺北市資料大平台,Auto,A8040101_11212_2.xml,https://data.taipei/dataset/detail?id=9b25821a-c0d0-438d-a027-4a09f4640813,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=bb299d68-e7e8-46c6-b187-5ff04c6ed00c
臺北市公共管線圖資_雨水側溝管線,臺北市資料大平台,Auto,A8040401_11212.xml,https://data.taipei/dataset/detail?id=c4c424ba-7a9b-4348-9b80-740426afcab9,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=1e1d0005-f133-45b0-80bc-4058fe18c04e
歷年使用執照摘要（90年至100年）,臺北市資料大平台,Auto,Taipei02_90年至100年使照.xml,https://data.taipei/dataset/detail?id=c876ff02-af2e-4eb8-bd33-d444f5052733,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=567ff5c7-0fdb-4e52-9558-8b591f5ee425
歷年使用執照摘要（101年至112年）,臺北市資料大平台,Auto,Taipei02_101年至112年使照.xml,https://data.taipei/dataset/detail?id=c876ff02-af2e-4eb8-bd33-d444f5052733,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=0f3f9675-8356-4f1a-9908-1ce8892012fa
臺北市區界圖,臺北市資料大平台,Auto,臺北市區界圖_20220915.zip,https://data.taipei/dataset/detail?id=1601ef3a-c253-4988-b047-943d9e786143,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=d8b7eb29-136f-49fc-b14b-3489d3656122
"臺北捷運之軌道路網實體路線圖資資料 v3",TDX運輸資料平台,Manually,TRTC.json,https://tdx.transportdata.tw/api-service/swagger/basic/30bc573f-0d73-47f2-ac3c-37c798b86d37#/Rail/PhysicalNetwork_03009,https://tdx.transportdata.tw/api/basic/V3/Map/Rail/Network/Line/OperatorCode/TRTC?%24format=JSON
高鐵之軌道路網實體路線圖資資料 v3,TDX運輸資料平台,Manually,THSR.json,https://tdx.transportdata.tw/api-service/swagger/basic/30bc573f-0d73-47f2-ac3c-37c798b86d37#/Rail/PhysicalNetwork_03009,https://tdx.transportdata.tw/api/basic/V3/Map/Rail/Network/Line/OperatorCode/THSR?%24format=JSON
臺鐵之軌道路網實體路線圖資資料 v3,TDX運輸資料平台,Manually,TRA.json,https://tdx.transportdata.tw/api-service/swagger/basic/30bc573f-0d73-47f2-ac3c-37c798b86d37#/Rail/PhysicalNetwork_03009,https://tdx.transportdata.tw/api/basic/V3/Map/Rail/Network/Line/OperatorCode/TRA?%24format=JSON